                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8703,                 2.4874,                   1.96,                0.49186,                    0.4,                0.35802,                0.11518,                 2.5181,                 6.3963,                  2.762,             0.00066154,             0.00066154,             0.00066154
                      2,                 1.8921,                 2.2052,                 2.0112,                0.21286,                   0.32,                 0.1864,                0.04458,                 2.5725,                 5.1187,                 2.7151,               0.001246,               0.001246,               0.001246
                      3,                 1.9135,                 2.2356,                 2.0242,                0.81826,                   0.24,                0.34126,                0.09562,                 2.6003,                 4.5381,                 2.6054,               0.001748,               0.001748,               0.001748
                      4,                 1.8457,                 2.1176,                 1.9655,                0.62575,                   0.28,                0.31374,                0.13253,                 2.3913,                 3.4055,                 2.4688,              0.0016287,              0.0016287,              0.0016287
                      5,                 1.7968,                 2.0179,                 1.9048,                0.71287,                0.19881,                0.26751,                0.09444,                 2.1757,                 2.6206,                 2.1991,               0.001505,               0.001505,               0.001505
                      6,                 1.7448,                 1.9195,                 1.8666,                0.64091,                   0.56,                0.59755,                 0.2493,                 2.0173,                 2.3343,                 2.0831,              0.0013813,              0.0013813,              0.0013813
                      7,                 1.7504,                 1.8498,                  1.927,                0.55741,                    0.6,                0.58977,                0.19858,                 2.3504,                 1.7996,                 2.2262,              0.0012575,              0.0012575,              0.0012575
                      8,                 1.7181,                 1.7592,                 1.9175,                      1,                0.62683,                0.73281,                0.27393,                 2.2769,                 1.6665,                 2.2533,              0.0011337,              0.0011337,              0.0011337
                      9,                 1.6871,                 1.6424,                 1.8895,                0.80196,                0.48628,                0.65796,                0.25824,                 2.2419,                 1.8822,                 2.1978,                0.00101,                0.00101,                0.00101
                     10,                 1.6414,                 1.5366,                 1.8446,                0.73039,                 0.6505,                0.64672,                0.20878,                   2.41,                 1.5665,                 2.3761,             0.00088625,             0.00088625,             0.00088625
                     11,                 1.6143,                 1.4782,                 1.8188,                0.83371,                   0.64,                 0.7709,                0.25552,                  2.515,                 1.6605,                 2.4402,              0.0007625,              0.0007625,              0.0007625
                     12,                 1.6007,                 1.4336,                 1.8091,                0.89415,                0.67596,                0.77814,                0.29169,                 2.2267,                  1.596,                 2.1052,             0.00063875,             0.00063875,             0.00063875
                     13,                 1.5658,                 1.3952,                 1.7604,                0.86483,                   0.76,                0.82268,                0.34962,                  2.114,                 1.3101,                 2.0439,               0.000515,               0.000515,               0.000515
                     14,                 1.5276,                 1.2804,                 1.7384,                0.86417,                   0.76,                0.76645,                0.34077,                 2.1235,                 1.4884,                 2.0506,             0.00039125,             0.00039125,             0.00039125
                     15,                 1.4892,                  1.251,                 1.6983,                0.71569,                   0.72,                0.71892,                0.33203,                 2.1107,                 1.4242,                 2.0235,              0.0002675,              0.0002675,              0.0002675
                     16,                 1.4525,                  1.179,                 1.6684,                0.84561,                   0.72,                0.78728,                0.29384,                  2.315,                 1.3856,                 2.1982,             0.00014375,             0.00014375,             0.00014375
